year,salary
2003,2.37
2004,2.31
2005,2.48
2006,2.7
2007,2.82
2008,2.93
2009,3
2010,3.01
2011,3.1
2012,3.21
2013,3.39
2014,3.69
2015,3.84
2016,4.38
2017,4.45
2018,4.41
2019,4.38
2020,4.43
2021,4.17
2022,4.4
