Year,Total Cash Value
2002,335000.0
2003,143333.33333333334
2004,179833.33333333334
2005,983250.0
2006,741153.8461538461
2007,567597.6818181818
2008,750367.8125
2009,606731.3725490196
2010,667532.9438202247
2011,794852.745614035
2012,774737.8014705882
2013,849308.7127659575
2014,986058.9953271028
2015,1072205.9611650486
2016,1144374.102244389
2017,1301285.7976878614
2018,1329067.2481884058
2019,1355460.3391719745
2020,660454.313559322
2021,983317.0984578885
