,Average MLB Team Revenue
Year2013,226.93333333333334
Year2014,236.6
Year2015,265.46666666666664
Year2016,279.8
Year2017,300.9
Year2018,312.0
Year2019,329.8333333333333
Year2020,344.8
Year2021,122.1
Year2022,318.53333333333336
